country,mean_energy,mean_valence,n_tracks
AE,0.6253746359038315,0.4969588962793598,28866
AR,0.6817380423034709,0.6343963259706407,29156
AT,0.6618600358324146,0.5298441427783903,29024
AU,0.6248716934230968,0.5110935301225618,28965
BE,0.6509782484305856,0.5258348135569963,29151
BG,0.7743015183481479,0.6329154082938471,28913
BO,0.6918505700850597,0.6208390585128276,29156
BR,0.710472579483486,0.6529695922077031,29157
BY,0.6560995911917276,0.5383056477378131,29109
CA,0.6105065534769529,0.5042272433348317,28919
CH,0.6461669872281671,0.5068811850189852,28970
CL,0.676818016193094,0.6114787764988834,29105
CO,0.6701185757764404,0.591843527702843,28914
CR,0.6587668578375228,0.5736321453310929,29161
CZ,0.6722648400260622,0.48582609992798603,29161
DE,0.6650744181398394,0.5278890726765223,29019
DK,0.659610310417458,0.5523721107696558,28961
DO,0.6692079037565122,0.5744069848505621,29176
EC,0.676050953268539,0.6013241833840619,28912
EE,0.6868460531302759,0.5163890879647176,29023
EG,0.6829321696786804,0.6173474092109323,29161
ES,0.6803250425995517,0.5621071601448027,29005
FI,0.7046106001371742,0.5853844581618656,29160
FR,0.6456882060427312,0.5727769755478583,29159
GB,0.640362742004876,0.5224627754672786,20919
GR,0.6870617024929606,0.5252563010782226,29122
GT,0.6853263550312092,0.6367484234172439,29158
HK,0.6162289708711185,0.49095845355866996,29112
HN,0.6803896049653658,0.5946209310061038,29162
HU,0.6748996330967321,0.5413461715187052,29163
ID,0.5088393469611744,0.37439919742077105,29156
IE,0.6191789137710915,0.5109705151651082,28981
IL,0.54149707377387,0.4678042519576865,29116
IN,0.5801662976544663,0.5222809451324985,28906
IS,0.5011594941566974,0.5181517913698914,28922
IT,0.6855082456982244,0.5018328066086242,29174
JP,0.7753651860744298,0.6365288286743268,29155
KR,0.6893555593721018,0.5463084326589496,29113
KZ,0.5972440245533418,0.5035484345529988,29161
LT,0.6446197839367687,0.5569792530977117,28973
LU,0.6450743358643828,0.5326756906233445,28315
LV,0.6458003145088822,0.5018838529066151,28934
MA,0.6212030650015566,0.539711222195316,28907
MX,0.6914467285095856,0.6737744746787604,29106
MY,0.5705396920122098,0.4431114140686627,29157
NG,0.6779810426703372,0.6206345595320027,29060
NI,0.6691479835447377,0.6048382718546451,29170
NL,0.681007064845236,0.5622543282033546,28915
NO,0.6338749758320674,0.5287328545780969,28964
NZ,0.6225824449354416,0.5297186183801699,28966
PA,0.659790137211057,0.5469583267027917,29158
PE,0.6809412996007709,0.6006716199752203,29056
PH,0.5571313679083488,0.506471105165672,29154
PK,0.5594003909599095,0.5061215405192222,29159
PL,0.6842804142092991,0.5090700761212454,29164
PT,0.5947077986213519,0.5418063469254776,29159
PY,0.6691892128967637,0.6040224498324871,28953
RO,0.72110568322554,0.6081161621026558,29068
SA,0.6547332240248533,0.508566955471177,28970
SE,0.607747363341835,0.5254289756669194,29014
SG,0.6314437944419635,0.5134792655697159,29111
SK,0.6694108638923224,0.47727961818431536,29124
SV,0.6813660242781702,0.5935154512722036,29162
TH,0.6432036967182195,0.5186086622543808,29161
TR,0.6497156744873072,0.5395927415753495,29111
TW,0.6209081901430189,0.4941567719587063,29157
UA,0.6542814985770806,0.532763767612966,28814
US,0.6035993143412332,0.4939159533641001,28819
UY,0.6833349350772805,0.6591123782699011,28403
VE,0.6672142844248664,0.5456099879701376,28263
VN,0.5499132718439766,0.48695497430120394,28406
ZA,0.6192562802433292,0.5245632552191345,28932
